Name,Requirements,Type,Benefit
"Telesma - Assistant","Telesma","Edge - Telesma","<p>Your character’s Telesma can concentrate on maintaining his magic Powers for him, reducing the concentration penalty by 1 per Telesma rank. It also grants +2 to checks made to keep Powers going when your character suffers damage.</p>"
"Telesma -Attribute Synergy","Telesma","Edge - Telesma","<p>Your character’s Telesma is particularly adept in one of the five core Attributes and able to guide and influence the same Attribute in your character, increasing his Wild Die one step when rolling that Attribute. This option can be taken multiple times, applying to a new Attribute each time.</p>"
"Telesma - Balm","Telesma","Edge - Telesma","<p>Your character’s Telesma can soothe his Fatigue, reducing the Fatigue track by a single level once per day.</p>"
"Telesma - Forced Manifestation","Telesma","Edge - Telesma","<p>Your character’s Telesma can trick, tear, or finagle spirits into the physical world. This causes the targeted spirit to become dual-aligned (see page 11). Doing so costs your character 5 Pulse. This effect lasts for five Rounds, and can be extended another 5 Rounds by paying an extra 5 Pulse.</p>"
"Telesma - Karma Bank","Telesma","Edge - Telesma","<p>Your character may store 1 unspent Karma at the end of a session. This may be used in later sessions. The bank can hold only 1 Karma at any given time.</p>"
"Telesma-Protective","Telesma","Edge - Telesma","<p>Your character’s Telesma emits a protective field of Pulse around his physical body shielding him from harm. This grants your character +1 Toughness.</p>"
"Telesma - Psychically Aggressive","Telesma","Edge - Telesma","<p>Your character’s Taunt and Intimidation checks can Incapacitate opponents thanks to the assistance of his Telesma in the spirit world.</p>"
"Telesma - Pulse Battery","Telesma","Edge","<p>Your character’s Telesma acts as a battery containing 1 Pulse per rank of the Telesma. This replenishes every 24 hours. This option may be taken multiple times, each time increasing the Pulse per rank by 1.</p>"
"Telesma - Spirit Interaction","Telesma","Edge - Telesma","<p>Your character can pay 1 Pulse as a free action to become dual-aligned for 1 Round so he affects both the spirit world and physical world simultaneously.</p>"
"Telesma - Spirit Sense","Telesma","Edge - Telesma","<p>Your character’s Telesma is much more sensitive to the spirit world around itself. It can sense spirits and other strong Pulse sources, even if they’re not in its line of sight. This works up to a hundred yards distance with a vague idea of what sort of Pulse source they are (a raven spirit, for instance, or a portal to the Maelstrom). It then communicates this information back to its master – assuming they’re on speaking terms. This Edge may be taken a second time, increasing the range to a mile and giving the Telesma an idea of how powerful the spirits are, too. This finely honed sense only works in the spirit world – if a spirit is manifested in the physical world, for instance, your character’s Telesma will be blissfully unaware. And it doesn’t work in the Maelstrom either, where sensory overload would surely result if it concentrated on all the spirits around!</p>"
"Telesma - Telesma Radio","Telesma","Edge - Telesma","<p>Your character’s Telesma is capable of sending telepathic messages to other Telesmae in the same group as long as they’re in the same realm, without the need for line of sight. Note: If one Telesma gets this Edge, every Telesma in the group should get it!</p>"
"Telesma - Ward","Telesma","Edge - Telesma","<p>Your character’s Telesma maintains protective wards to stave off harmful magic and malign spirits. Enemies get -1 to their roll if they target your character with a Pulse-fuelled action (any action with a Pulse cost associated with it). This Telesma Edge may be taken.</p>"
"Unreliable Narrator","Heroic, Spirit d8+, Persuasion\nd8+","Edge - Weird","<p>It’s said that the finest actors of ancient Greece could entrance their audience and guide them to whatever ends the playwright had devised. Tales told around the campfire engage attention to horrifying conclusions, and hypnotists claim to utilize this state of conscious dreams for countless purposes. Your character may spend 3 Pulse to make an opposed roll between his Persuasion Skill and the Spirit of his audience (or the highest Spirit, if there are multiple values). If your character wins, the audience is enthralled, and must continue to listen, mostly unaware of anything else present in their surroundings – making them inactive guards for purposes of Stealth and giving them a -4 penalty to any Notice rolls they might make. This effect lasts for one minute, although the character may spend 3 Pulse to continue for an additional minute. He may keep this up for as long as desired. Only extreme elements in the environment, such as imminent personal danger, will allow the audience to attempt another opposed check to break the effect.</p>"
